"Date","Price","Open","High","Low","Vol.","Change %"
"01/01/2018","1,344.70","1,302.62","1,366.26","1,302.60","","3.24%"
"12/01/2017","1,302.45","1,274.59","1,307.97","1,236.27","","2.20%"
"11/01/2017","1,274.36","1,270.94","1,299.44","1,265.49","","0.25%"
"10/01/2017","1,271.20","1,279.20","1,306.46","1,260.51","","-0.62%"
"09/01/2017","1,279.10","1,322.03","1,357.74","1,277.60","","-3.22%"
"08/01/2017","1,321.60","1,269.05","1,326.19","1,251.36","","4.14%"
"07/01/2017","1,269.05","1,241.76","1,271.29","1,204.73","","2.24%"
"06/01/2017","1,241.20","1,268.90","1,296.26","1,236.78","","-2.12%"
"05/01/2017","1,268.09","1,268.50","1,274.30","1,214.18","","0.03%"
"04/01/2017","1,267.65","1,248.30","1,295.66","1,243.69","","1.52%"
"03/01/2017","1,248.63","1,248.57","1,261.41","1,194.89","","0.01%"
"02/01/2017","1,248.52","1,210.60","1,264.18","1,198.04","","3.14%"
"01/01/2017","1,210.51","1,151.09","1,220.21","1,145.99","","5.13%"
"12/01/2016","1,151.46","1,173.01","1,188.09","1,122.69","","-1.81%"
"11/01/2016","1,172.70","1,276.90","1,337.85","1,170.72","","-8.19%"
"10/01/2016","1,277.28","1,317.83","1,319.93","1,241.46","","-2.93%"
"09/01/2016","1,315.80","1,309.35","1,353.03","1,302.33","","0.56%"
"08/01/2016","1,308.45","1,349.97","1,367.69","1,305.02","","-3.12%"
"07/01/2016","1,350.59","1,323.40","1,375.30","1,310.80","","2.18%"
"06/01/2016","1,321.78","1,215.85","1,358.47","1,206.02","","8.82%"
"05/01/2016","1,214.69","1,293.69","1,303.97","1,199.88","","-6.08%"
"04/01/2016","1,293.36","1,232.70","1,296.58","1,209.00","","4.98%"
"03/01/2016","1,231.95","1,238.19","1,282.90","1,208.55","","-0.47%"
"02/01/2016","1,237.76","1,117.85","1,261.17","1,116.24","","10.75%"
"01/01/2016","1,117.64","1,061.09","1,128.30","1,060.74","","5.35%"
"12/01/2015","1,060.91","1,064.55","1,089.13","1,046.22","","-0.29%"
"11/01/2015","1,064.02","1,141.74","1,143.10","1,052.84","","-6.83%"
"10/01/2015","1,142.00","1,115.15","1,191.11","1,104.72","","2.46%"
"09/01/2015","1,114.60","1,134.99","1,156.74","1,098.75","","-1.72%"
"08/01/2015","1,134.10","1,095.24","1,168.72","1,081.00","","3.53%"
"07/01/2015","1,095.40","1,173.10","1,175.43","1,077.45","","-6.55%"
"06/01/2015","1,172.20","1,190.90","1,205.88","1,162.84","","-1.48%"
"05/01/2015","1,189.75","1,184.55","1,232.60","1,170.64","","0.50%"
"04/01/2015","1,183.85","1,183.75","1,224.52","1,175.26","","0.06%"
"03/01/2015","1,183.10","1,213.90","1,223.60","1,143.18","","-2.43%"
"02/01/2015","1,212.55","1,281.44","1,285.67","1,191.16","","-5.48%"
"01/01/2015","1,282.80","1,183.88","1,306.50","1,168.75","","8.39%"
"12/01/2014","1,183.55","1,166.90","1,238.48","1,143.16","","1.41%"
"11/01/2014","1,167.04","1,173.60","1,207.94","1,132.13","","-0.59%"
"10/01/2014","1,173.92","1,209.24","1,255.43","1,161.53","","-2.88%"
"09/01/2014","1,208.74","1,287.05","1,290.32","1,204.65","","-6.09%"
"08/01/2014","1,287.07","1,282.00","1,322.93","1,273.41","","0.39%"
"07/01/2014","1,282.09","1,327.15","1,345.25","1,281.06","","-3.40%"
"06/01/2014","1,327.19","1,250.90","1,329.50","1,240.95","","6.12%"
"05/01/2014","1,250.69","1,291.65","1,315.82","1,242.24","","-3.14%"
"04/01/2014","1,291.29","1,284.25","1,331.34","1,268.52","","0.60%"
"03/01/2014","1,283.64","1,326.50","1,392.15","1,282.54","","-3.18%"
"02/01/2014","1,325.79","1,245.20","1,345.66","1,240.62","","6.64%"
"01/01/2014","1,243.19","1,207.76","1,278.40","1,199.29","","3.17%"
"12/01/2013","1,204.94","1,251.65","1,267.76","1,184.75","","-3.76%"
"11/01/2013","1,251.99","1,323.70","1,327.70","1,227.86","","-5.38%"
"10/01/2013","1,323.19","1,327.75","1,361.97","1,252.05","","-0.28%"
"09/01/2013","1,326.94","1,396.56","1,416.56","1,291.83","","-4.93%"
"08/01/2013","1,395.69","1,323.20","1,434.01","1,273.25","","5.54%"
"07/01/2013","1,322.49","1,234.10","1,348.30","1,207.88","","7.25%"
"06/01/2013","1,233.14","1,389.45","1,423.55","1,181.09","","-11.05%"
"05/01/2013","1,386.40","1,476.55","1,488.23","1,339.58","","-6.11%"
"04/01/2013","1,476.60","1,597.85","1,604.03","1,321.89","","-7.49%"
"03/01/2013","1,596.17","1,580.30","1,616.76","1,561.18","","1.04%"
"02/01/2013","1,579.76","1,663.80","1,684.88","1,555.10","","-5.00%"
"01/01/2013","1,662.99","1,675.05","1,696.38","1,626.40","","-0.68%"
"12/01/2012","1,674.34","1,714.00","1,723.48","1,635.61","","-2.34%"
"11/01/2012","1,714.40","1,720.55","1,754.68","1,672.74","","-0.33%"
"10/01/2012","1,720.05","1,771.20","1,796.18","1,698.90","","-2.86%"
"09/01/2012","1,770.69","1,692.20","1,787.58","1,685.54","","4.74%"
"08/01/2012","1,690.54","1,609.72","1,693.21","1,584.97","","4.79%"
"07/01/2012","1,613.29","1,599.30","1,629.63","1,554.90","","0.94%"
"06/01/2012","1,598.20","1,560.24","1,640.88","1,545.34","","2.53%"
"05/01/2012","1,558.70","1,666.75","1,671.57","1,527.38","","-6.32%"
"04/01/2012","1,663.88","1,668.53","1,681.16","1,612.28","","-0.26%"
"03/01/2012","1,668.29","1,696.20","1,725.97","1,628.17","","-1.56%"
"02/01/2012","1,694.70","1,738.39","1,790.70","1,688.67","","-2.55%"
"01/01/2012","1,739.03","1,566.15","1,747.80","1,565.13","","11.21%"
"12/01/2011","1,563.80","1,746.49","1,762.35","1,522.49","","-10.39%"
"11/01/2011","1,745.10","1,714.65","1,803.20","1,666.51","","1.86%"
"10/01/2011","1,713.25","1,619.49","1,752.70","1,595.69","","5.54%"
"09/01/2011","1,623.25","1,823.09","1,920.85","1,535.60","","-10.97%"
"08/01/2011","1,823.30","1,626.64","1,912.15","1,608.72","","12.12%"
"07/01/2011","1,626.14","1,501.34","1,632.68","1,478.40","","8.44%"
"06/01/2011","1,499.60","1,535.15","1,558.88","1,490.70","","-2.20%"
"05/01/2011","1,533.35","1,569.29","1,576.62","1,462.88","","-1.93%"
"04/01/2011","1,563.60","1,434.09","1,569.68","1,413.03","","9.19%"
"03/01/2011","1,432.00","1,412.59","1,447.78","1,381.30","","1.44%"
"02/01/2011","1,411.65","1,332.15","1,418.31","1,325.17","","5.96%"
"01/01/2011","1,332.19","1,421.18","1,424.33","1,308.35","","-6.28%"
"12/01/2010","1,421.45","1,387.30","1,431.35","1,361.85","","2.64%"
"11/01/2010","1,384.85","1,360.59","1,424.60","1,325.17","","1.86%"
"10/01/2010","1,359.55","1,309.55","1,387.30","1,306.20","","3.82%"
"09/01/2010","1,309.50","1,248.50","1,316.03","1,236.35","","4.96%"
"08/01/2010","1,247.65","1,182.45","1,250.12","1,174.90","","5.65%"
"07/01/2010","1,180.90","1,242.15","1,244.05","1,157.35","","-4.95%"
"06/01/2010","1,242.35","1,216.10","1,265.30","1,197.09","","2.15%"
"05/01/2010","1,216.21","1,179.00","1,249.45","1,157.70","","3.13%"
"04/01/2010","1,179.25","1,113.40","1,181.55","1,111.75","","5.88%"
"03/01/2010","1,113.80","1,117.15","1,145.07","1,085.28","","-0.24%"
"02/01/2010","1,116.50","1,080.10","1,131.05","1,044.25","","3.23%"
"01/01/2010","1,081.55","1,096.75","1,162.00","1,074.25","","-1.34%"
"12/01/2009","1,096.20","1,179.75","1,226.60","1,074.60","","-7.01%"
"11/01/2009","1,178.85","1,044.30","1,195.30","1,040.65","","12.82%"
"10/01/2009","1,044.90","1,006.70","1,070.90","986.70","","3.69%"
"09/01/2009","1,007.70","950.55","1,024.85","947.00","","5.95%"
"08/01/2009","951.15","953.80","972.75","931.20","","-0.38%"
"07/01/2009","954.75","926.30","959.70","906.00","","3.01%"
"06/01/2009","926.85","979.60","990.80","913.90","","-5.42%"
"05/01/2009","980.00","887.30","981.00","880.55","","10.55%"
"04/01/2009","886.50","918.55","933.35","865.00","","-3.45%"
"03/01/2009","918.15","940.00","967.70","883.90","","-2.86%"
"02/01/2009","945.15","927.95","1,006.40","888.00","","1.88%"
"01/01/2009","927.75","880.30","931.40","802.65","","5.40%"
"12/01/2008","880.20","817.00","891.55","742.40","","7.67%"
"11/01/2008","817.50","724.85","832.10","702.25","","12.75%"
"10/01/2008","725.05","872.15","933.00","682.80","","-16.85%"
"09/01/2008","871.95","836.50","922.00","738.00","","4.95%"
"08/01/2008","830.80","914.55","917.90","774.90","","-9.09%"
"07/01/2008","913.85","926.50","988.75","894.50","","-1.22%"
"06/01/2008","925.10","887.75","936.00","857.80","","4.31%"
"05/01/2008","886.90","877.15","936.30","846.00","","1.83%"
"04/01/2008","870.95","916.25","953.60","863.30","","-4.89%"
"03/01/2008","915.70","973.40","1,031.20","905.05","","-5.84%"
"02/01/2008","972.48","924.38","976.27","885.67","","5.06%"
"01/01/2008","925.62","833.92","933.73","833.83","","11.04%"
"12/01/2007","833.60","783.10","843.60","777.40","","6.48%"
"11/01/2007","782.90","795.90","845.80","773.00","","-1.67%"
"10/01/2007","796.20","744.20","796.90","721.10","","7.00%"
"09/01/2007","744.10","673.40","745.90","671.40","","10.56%"
"08/01/2007","673.00","663.40","677.00","641.50","","1.43%"
"07/01/2007","663.50","651.25","687.60","645.50","","2.13%"
"06/01/2007","649.65","662.20","674.70","639.65","","-1.71%"
"05/01/2007","660.95","678.95","691.55","652.05","","-2.55%"
"04/01/2007","678.25","665.45","693.85","656.45","","2.21%"
"03/01/2007","663.60","669.70","677.70","632.80","","-0.95%"
"02/01/2007","669.95","652.85","689.35","643.15","","2.56%"
"01/01/2007","653.20","637.30","655.20","602.20","","2.58%"
"12/01/2006","636.80","648.00","650.00","611.80","","-1.77%"
"11/01/2006","648.30","606.40","649.00","605.70","","6.87%"
"10/01/2006","606.60","598.50","611.00","559.90","","1.39%"
"09/01/2006","598.30","625.30","640.75","571.70","","-4.56%"
"08/01/2006","626.90","636.00","655.95","607.30","","-1.21%"
"07/01/2006","634.58","617.88","676.38","601.98","","3.50%"
"06/01/2006","613.10","643.40","645.50","543.50","","-4.75%"
"05/01/2006","643.70","654.50","730.40","636.60","","-1.65%"
"04/01/2006","654.50","583.00","655.80","582.30","","12.14%"
"03/01/2006","583.65","561.15","589.15","534.05","","3.90%"
"02/01/2006","561.75","568.95","575.05","534.95","","-1.27%"
"01/01/2006","568.95","517.20","572.65","549.45","","9.92%"
"12/01/2005","517.60","493.90","517.60","517.60","","4.81%"
"11/01/2005","493.85","465.35","493.85","493.85","","6.16%"
"10/01/2005","465.20","467.65","465.20","465.20","","-0.84%"
"09/01/2005","469.15","435.10","469.15","469.15","","7.79%"
"08/01/2005","435.25","429.75","435.25","435.25","","1.17%"
"07/01/2005","430.20","434.90","430.20","430.20","","-1.16%"
"06/01/2005","435.25","417.00","435.25","435.25","","4.29%"
"05/01/2005","417.35","434.35","417.35","417.35","","-4.03%"
"04/01/2005","434.88","428.38","434.88","434.88","","1.50%"
"03/01/2005","428.45","435.65","428.45","428.45","","-1.65%"
"02/01/2005","435.62","422.38","435.62","435.62","","3.08%"
"01/01/2005","422.62","437.88","422.62","422.62","","-3.61%"
"12/01/2004","438.45","451.10","438.45","438.45","","-2.76%"
"11/01/2004","450.88","429.62","450.88","450.88","","5.22%"
"10/01/2004","428.52","418.12","428.52","428.52","","2.46%"
"09/01/2004","418.25","410.00","418.25","418.25","","2.06%"
"08/01/2004","409.82","394.38","409.82","409.82","","4.75%"
"07/01/2004","391.25","394.50","391.25","391.25","","-0.79%"
"06/01/2004","394.38","395.27","394.38","394.38","","-0.28%"
"05/01/2004","395.50","389.15","395.50","395.50","","2.04%"
"04/01/2004","387.60","426.90","387.60","387.60","","-9.15%"
"03/01/2004","426.62","397.12","426.62","426.62","","7.61%"
"02/01/2004","396.45","402.35","396.45","396.45","","-1.52%"
"01/01/2004","402.57","415.38","402.57","402.57","","-3.01%"
"12/01/2003","415.05","398.50","415.05","415.05","","4.32%"
"11/01/2003","397.88","384.62","397.88","397.88","","3.51%"
"10/01/2003","384.40","385.05","384.40","384.40","","-0.22%"
"09/01/2003","385.25","374.75","385.25","385.25","","2.58%"
"08/01/2003","375.57","355.48","375.57","375.57","","5.79%"
"07/01/2003","355.00","346.75","355.00","355.00","","2.48%"
"06/01/2003","346.40","362.35","346.40","346.40","","-5.09%"
"05/01/2003","364.98","339.77","364.98","364.98","","7.47%"
"04/01/2003","339.62","337.62","339.62","339.62","","0.63%"
"03/01/2003","337.48","348.62","337.48","337.48","","-3.54%"
"02/01/2003","349.85","368.10","349.85","349.85","","-5.06%"
"01/01/2003","368.48","346.38","368.48","368.48","","6.19%"
"12/01/2002","347.00","318.90","347.00","347.00","","8.76%"
"11/01/2002","319.05","317.75","319.05","319.05","","0.39%"
"10/01/2002","317.80","323.65","317.80","317.80","","-1.84%"
"09/01/2002","323.75","312.65","323.75","323.75","","3.52%"
"08/01/2002","312.75","303.75","312.75","312.75","","3.03%"
"07/01/2002","303.55","314.00","303.55","303.55","","-3.52%"
"06/01/2002","314.62","326.68","314.62","314.62","","-3.65%"
"05/01/2002","326.55","309.25","326.55","326.55","","5.90%"
"04/01/2002","308.35","302.25","308.35","308.35","","1.87%"
"03/01/2002","302.70","296.65","302.70","302.70","","1.94%"
"02/01/2002","296.95","282.75","296.95","296.95","","5.17%"
"01/01/2002","282.35","278.85","282.35","282.35","","1.22%"
"12/01/2001","278.95","274.80","278.95","278.95","","1.66%"
"11/01/2001","274.40","279.55","274.40","274.40","","-1.88%"
"10/01/2001","279.65","291.70","279.65","279.65","","-4.54%"
"09/01/2001","292.95","274.50","292.95","292.95","","6.74%"
"08/01/2001","274.45","266.55","274.45","274.45","","2.85%"
"07/01/2001","266.85","270.80","266.85","266.85","","-1.48%"
"06/01/2001","270.85","265.90","270.85","270.85","","1.80%"
"05/01/2001","266.05","263.85","266.05","266.05","","0.76%"
"04/01/2001","264.05","257.75","264.05","264.05","","2.36%"
"03/01/2001","257.95","267.15","257.95","257.95","","-3.48%"
"02/01/2001","267.25","266.15","267.25","267.25","","0.53%"
"01/01/2001","265.85","272.75","265.85","265.85","","-2.40%"
"12/01/2000","272.40","270.45","272.40","272.40","","0.76%"
"11/01/2000","270.35","265.05","270.35","270.35","","2.00%"
"10/01/2000","265.05","274.25","265.05","265.05","","-3.35%"
"09/01/2000","274.25","277.80","274.25","274.25","","-1.26%"
"08/01/2000","277.75","277.45","277.75","277.75","","0.18%"
"07/01/2000","277.25","289.65","277.25","277.25","","-4.43%"
"06/01/2000","290.10","272.10","290.10","290.10","","6.60%"
"05/01/2000","272.15","273.75","272.15","272.15","","-0.49%"
"04/01/2000","273.50","278.75","273.50","273.50","","-1.95%"
"03/01/2000","278.95","292.00","278.95","278.95","","-4.51%"
"02/01/2000","292.12","283.27","292.12","292.12","","3.14%"
"01/01/2000","283.23","288.38","283.23","283.23","","-1.74%"
